Matrix Number,Matrix Rows,Matrix Cols,Matrix Nonzeros,Matrix Redundancy,Matrix Density,Eigen Constructor Time,CSF2 Constructor Time,CSF3 Constructor Time,Eigen InnerIterator Time,CSF2 InnerIterator Time,CSF3 InnerIterator Time,Eigen Scalar Multiplication Time,CSF2 Scalar Multiplication Time,CSF3 Scalar Multiplication Time,Eigen Vector Multiplication Time,CSF2 Vector Multiplication Time,CSF3 Vector Multiplication Time,Eigen Memory Usage,CSF2 Memory Usage,CSF3 Memory Usage,Eigen Transpose Time,CSF2 Transpose Time, CSF3 Transpose Time, Eigen Matrix Multiplication Time, CSF2 Matrix Multiplication Time, CSF3 Matrix Multiplication Time
1.000000, 1138.000000, 1138.000000, 2596.000000, 0.997134, 0.002005,0,0,0,0,0,0,0,0,0,0,0,0,15545084,5246664,1354451,0,0,0,0,0,0,
2.000000, 494.000000, 494.000000, 1080.000000, 0.993620, 0.004426,0,0,0,0,0,0,0,0,0,0,0,0,2930412,1004313,268748,0,0,0,0,0,0,
3.000000, 662.000000, 662.000000, 1568.000000, 0.994923, 0.003578,0,0,0,0,0,0,0,0,0,0,0,0,5261580,1792517,473255,0,0,0,0,0,0,
4.000000, 685.000000, 685.000000, 1967.000000, 0.994384, 0.004192,0,0,0,0,0,0,0,0,0,0,0,0,5633444,1922139,509097,0,0,0,0,0,0,
6.000000, 130.000000, 130.000000, 1282.000000, 0.949941, 0.075858,0,0,0,0,0,0,0,0,0,0,0,0,203324,80702,27464,0,0,0,0,0,0,
23.000000, 48.000000, 48.000000, 224.000000, 0.889323, 0.097222,0,0,0,0,0,0,0,0,0,0,0,0,27844,13323,5646,0,0,0,0,0,0,
24.000000, 66.000000, 66.000000, 2211.000000, 0.516758, 0.507576,0,0,0,0,0,0,0,0,0,0,0,0,52540,45869,26486,0,0,0,0,0,0,
25.000000, 112.000000, 112.000000, 376.000000, 0.961256, 0.029974,0,0,0,0,0,0,0,0,0,0,0,0,150980,58310,19220,0,0,0,0,0,0,
26.000000, 132.000000, 132.000000, 1890.000000, 0.894972, 0.108471,0,0,0,0,0,0,0,0,0,0,0,0,209620,95622,37860,0,0,0,0,0,0,
27.000000, 153.000000, 153.000000, 1288.000000, 0.946474, 0.055022,0,0,0,0,0,0,0,0,0,0,0,0,281524,112397,38411,0,0,0,0,0,0,
28.000000, 420.000000, 420.000000, 4140.000000, 0.975227, 0.023469,0,0,0,0,0,0,0,0,0,0,0,0,2118484,769154,230134,0,0,0,0,0,0,
29.000000, 420.000000, 420.000000, 4140.000000, 0.975227, 0.023469,0,0,0,0,0,0,0,0,0,0,0,0,2118484,769154,230134,0,0,0,0,0,0,
30.000000, 1074.000000, 1074.000000, 7017.000000, 0.994265, 0.006083,0,0,0,0,0,0,0,0,0,0,0,0,13846012,4717107,1246925,0,0,0,0,0,0,
31.000000, 1083.000000, 1083.000000, 9760.000000, 0.992612, 0.008321,0,0,0,0,0,0,0,0,0,0,0,0,14079004,4821553,1290545,0,0,0,0,0,0,
32.000000, 1086.000000, 1086.000000, 11578.000000, 0.989262, 0.009817,0,0,0,0,0,0,0,0,0,0,0,0,14157100,4899616,1341470,0,0,0,0,0,0,
33.000000, 1473.000000, 1473.000000, 17857.000000, 0.991274, 0.008230,0,0,0,0,0,0,0,0,0,0,0,0,26042644,8948650,2412414,0,0,0,0,0,0,
34.000000, 1473.000000, 1473.000000, 17857.000000, 0.991274, 0.008230,0,0,0,0,0,0,0,0,0,0,0,0,26042644,8948650,2412414,0,0,0,0,0,0,
